"5－13図　人身取引事犯の検挙状況等の推移","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"年","平成15（2003）","16（2004）","17（2005）","18（2006）","19（2007）","20（2008）","21（2009）","22（2010）","23（2011）","24（2012）","25（2013）","26（2014）","27（2015）","28（2016）","29（2017）","30（2018）","令和元（2019）","2（2020）","3（2021）"
"検挙人員（人）","41","58","83","78","41","33","24","24","33","54","37","33","42","46","30","40","39","58","43"
"検挙人員（うちブローカー数）（人）","[8]","[23]","[26]","[24]","[11]","[7]","[6]","[3]","[6]","[6]","[10]","[6]","[7]","[5]","[3]","[1]","[1]","[3]","[1]"
"検挙件数（件）","51","79","81","72","40","36","28","19","25","44","25","32","44","44","46","36","57","55","61"
"被害者総数（人）","83","77","117","58","43","36","17","37","25","27","17","24","49","46","42","25","44","37","42"
